Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE CARNOT;2014;PARIS 17;0750704H;75117;PARIS;Paris;PU;29.0;102.0;172.0;;;;;;;;;;303;97.0;100.0;98.0;;;;;;;;;;98;98.0;98.0;98.0;;;;;;;;;;98.0;98.0;97.0;98.0;;;;;;;;;;97.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;87.0;100.0;75.0;95.0;74.0;97.0;313.0;294.0;;85.0;82.0;78.0;95.0;94.0;94.0;;;Ile-de-France;11;75;Paris;1;7;;-1;3;0;;;;;;;;;;1;;;;;;;;;;;;0750704H;Lycée Carnot;Lycée;Public;145 boulevard Malesherbes;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 56 21 36 36;01 56 21 36 37;http://www.lyceecarnot-paris.fr;ce.0750704H@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;19750704900017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16365;48.8844861599,2.30782961848;SANS OBJET;Paris;Paris;Ile-de-France;649240.7;6865163.6;EPSG:2154;;48.88448615992047;2.3078296184779563;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752552S;;;01000;BASSIN PARIS
LYCEE BETH HANNA;2014;PARIS 19;0754325U;75119;PARIS;Paris;PR;;34.0;63.0;;;;;;;;;;97;;97.0;100.0;;;;;;;;;;99;;86.0;89.0;;;;;;;;;;88.0;;81.0;86.0;;;;;;;;;;85.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;84.0;96.0;75.0;95.0;74.0;97.0;113.0;112.0;;83.0;70.0;65.0;95.0;87.0;87.0;;;Ile-de-France;11;75;Paris;14;18;;;16;14;;;;;;;;;;8;;;;;;;;;;;;0754325U;Lycée privé Beth Hanna;Lycée;Privé;49-51 rue Petit;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 52 72 50;01 40 03 65 73;;ce.0754325u@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78441431000101.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19361;48.885451718,2.38539013038;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654929.2;6865223.9;EPSG:2154;;48.88545171798452;2.3853901303780534;Numéro de rue;1989-03-02;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PASCAL;2014;PARIS 16;0753919C;75116;PARIS;Paris;PR;26.0;24.0;26.0;;;;;;;;;;76;100.0;100.0;100.0;;;;;;;;;;100;99.0;98.0;96.0;;;;;;;;;;98.0;97.0;98.0;95.0;;;;;;;;;;97.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;78.0;99.0;75.0;95.0;74.0;97.0;65.0;83.0;;71.0;76.0;68.0;83.0;92.0;87.0;;;Ile-de-France;11;75;Paris;3;3;;3;2;5;;;;;;;;;;-4;;;;;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;13-15 rue de Montevideo;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;69204166800017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21884;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CHARLES DE FOUCAULD;2014;PARIS 18;0754086J;75118;PARIS;Paris;PR;24.0;28.0;34.0;;;;48.0;;;;;;134;100.0;100.0;100.0;;;;100.0;;;;;;100;97.0;98.0;98.0;;;;97.0;;;;;;97.0;95;95;94;;;;96;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;2.0;;77.0;90.0;75.0;95.0;77.0;94.0;176.0;163.0;;76;73.0;74;84.0;89.0;89;;;Ile-de-France;11;75;Paris;5;2;;5;5;6;;;;4;;;;;;-5;;;;;;;;;;;;0754086J;Lycée privé Charles de Foucauld;Lycée;Privé;5 rue de la Madone;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 46 07 72 59;;http://www.lamadone.fr;administratif@lamadone.fr;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;33875689300016.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6617;48.8926023754,2.36118975915;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653161.0;6866033.1;EPSG:2154;;48.89260237540899;2.361189759148632;Numéro de rue;1968-03-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE PAUL BERT;2014;PARIS 14;0750689S;75114;PARIS;Paris;PU;30.0;45.0;34.0;;;;;;;;;;109;83.0;82.0;71.0;;;;;;;;;;79;90.0;88.0;71.0;;;;;;;;;;83.0;88.0;87.0;74.0;;;;;;;;;;83.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;41.0;83.0;75.0;95.0;74.0;97.0;190.0;109.0;;34.0;56.0;45.0;75.0;86.0;74.0;;;Ile-de-France;11;75;Paris;-4;-11;;-5;-5;-3;;;;;;;;;;1;;;;;;;;;;;;0750689S;Lycée Paul Bert;Lycée;Public;7 rue Huyghens;;75014 Paris;75014.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 43 20 32 64;01 43 20 73 51;http://www.paul-bert.paris/;ce.0750689S@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;19750689200011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.956;48.8408406765,2.32881986827;SANS OBJET;Paris;Paris;Ile-de-France;650738.7;6860297.3;EPSG:2154;;48.84084067645433;2.3288198682655965;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0750692V;;;01000;BASSIN PARIS
LYCEE PASCAL;2014;PARIS 16;0753919C;75116;PARIS;Paris;PR;26.0;24.0;26.0;;;;;;;;;;76;100.0;100.0;100.0;;;;;;;;;;100;99.0;98.0;96.0;;;;;;;;;;98.0;97.0;98.0;95.0;;;;;;;;;;97.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;78.0;99.0;75.0;95.0;74.0;97.0;65.0;83.0;;71.0;76.0;68.0;83.0;92.0;87.0;;;Ile-de-France;11;75;Paris;3;3;;3;2;5;;;;;;;;;;-4;;;;;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;33 boulevard Lannes;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;01 45 04 30 38;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;69204166800017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13276;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE E. NAPOLEON ST PIERRE FOURIER;2014;PARIS 12;0753898E;75112;PARIS;Paris;PR;21.0;61.0;54.0;;;;;;;;;;136;90.0;98.0;96.0;;;;;;;;;;96;97.0;96.0;95.0;;;;;;;;;;96.0;96.0;95.0;92.0;;;;;;;;;;94.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;71.0;98.0;75.0;95.0;74.0;97.0;170.0;160.0;;68.0;76.0;70.0;88.0;91.0;88.0;;;Ile-de-France;11;75;Paris;2;-2;;-6;3;4;;;;;;;;;;0;;;;;;;;;;;;0753898E;Lycée privé Eugène Napoléon - Saint-Pierre Fourier;Lycée;Privé;13 rue de Prague;;75012 Paris;75012.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 43 43 55 03;01 43 43 65 85;http://www.spfparis12.fr;secretariat@eclpierrefourier.org;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78452116300047.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16790;48.8497173437,2.37582947544;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654196.7;6861256.0;EPSG:2154;;48.84971734370952;2.37582947543678;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CHARLES PEGUY;2014;PARIS 11;0753890W;75111;PARIS;Paris;PR;36.0;38.0;66.0;;;;27.0;;;23.0;;;190;100.0;100.0;100.0;;;;100.0;;;100.0;;;100;99.0;100.0;99.0;;;;99.0;;;88.0;;;98.0;98.0;99.0;98.0;;;;99.0;;;99.0;;;98.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;88.0;99.0;75.0;95.0;77.0;94.0;190.0;177.0;;86.0;85.0;84.0;96.0;95.0;94.0;;;Ile-de-France;11;75;Paris;2;2;;2;1;2;;;;1;;;1;;;2;;;;;;;;;;;;0753890W;Lycée privé Charles Péguy;Lycée;Privé;80 avenue Parmentier;;75011 Paris;75011.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 48 05 16 47;01 43 38 94 92;http://www.charles-peguy.fr;secretariat.direction@charlespeguyparis.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;77568012700047.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16766;48.864360042,2.37538959061;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654177.3;6862884.4;EPSG:2154;;48.86436004203214;2.375389590612366;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE BOSSUET-NOTRE-DAME;2014;PARIS 10;0753887T;75110;PARIS;Paris;PR;22.0;26.0;49.0;;;;;;;;;;97;100.0;100.0;100.0;;;;;;;;;;100;100.0;99.0;99.0;;;;;;;;;;99.0;99.0;99.0;97.0;;;;;;;;;;98.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;73.0;100.0;75.0;95.0;74.0;97.0;158.0;135.0;;75.0;83.0;80.0;92.0;94.0;94.0;;;Ile-de-France;11;75;Paris;2;-5;;1;1;3;;;;;;;;;;-2;;;;;;;;;;;;0753887T;Lycée privé Bossuet Notre-Dame;Lycée;Privé;17 rue Yves Toudic;;75010 Paris;75010.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 08 01 47;01 40 03 08 27;http://www.bossuetnotredame.fr;Lycee-BND.T@nerim.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78444836700036;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1847;48.87043127,2.3632298538;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653290.7;6863566.6;EPSG:2154;;48.87043126998226;2.3632298537974674;Numéro de rue;1968-03-14;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE SAINTE-GENEVIEVE;2014;PARIS 06;0753844W;75106;PARIS;Paris;PR;29.0;37.0;30.0;;;27.0;;;;;;;123;100.0;97.0;97.0;;;100.0;;;;;;;98;99.0;95.0;97.0;;;98.0;;;;;;;97.0;97.0;95.0;94.0;;;100.0;;;;;;;96.0;;;;;;;;;;;;;;;;;;;;;;;3.0;;75.0;100.0;75.0;95.0;74.0;95.0;166.0;128.0;;73.0;71.0;69.0;96.0;91.0;89.0;;;Ile-de-France;11;75;Paris;2;4;;3;2;3;;;0;;;;;;;7;;;;;;;;;;;;0753844W;Lycée privé Sainte-Geneviève;Lycée;Privé;64 rue d'Assas;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 39 01 00;01 42 84 25 00;http://www.saintegenevieve6.org;lt@isg6.paris;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;77566396600056.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15688;48.8457987583,2.33136958012;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650930.5;6860847.0;EPSG:2154;;48.845798758291295;2.331369580122871;Numéro de rue;1968-03-06;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE STANISLAS;2014;PARIS 06;0753840S;75106;PARIS;Paris;PR;25.0;73.0;191.0;;;;;;;;;;289;100.0;100.0;100.0;;;;;;;;;;100;100.0;100.0;100.0;;;;;;;;;;100.0;100.0;100.0;100.0;;;;;;;;;;100.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;100.0;75.0;95.0;74.0;97.0;317.0;314.0;;82.0;91.0;89.0;92.0;97.0;97.0;;;Ile-de-France;11;75;Paris;0;-7;;0;0;0;;;;;;;;;;-5;;;;;;;;;;;;0753840S;Lycée privé Stanislas;Lycée;Privé;22 rue Notre-Dame-des-Champs;;75006 Paris Cedex 06;75279.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 84 88 00;01 42 84 88 53;http://www.stanislas.fr;secretariat.lycee@stanislas.fr;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;57222293300010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19788;48.8457107395,2.32769973106;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650661.1;6860839.5;EPSG:2154;;48.845710739452144;2.327699731060317;Numéro de rue;1968-02-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE JEAN DROUANT (GENERAL ET TECHNO.);2014;PARIS 17;0750708M;75117;PARIS;Paris;PU;;;;;;;;;;;;47.0;47;;;;;;;;;;;;89.0;89;;;;;;;;;;;;91.0;91.0;;;;;;;;;;;;93.0;93.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;89.0;98.0;75.0;95.0;77.0;94.0;40.0;39.0;;80.0;63.0;71.0;89.0;84.0;89.0;;;Ile-de-France;11;75;Paris;-4;9;;;;;;;;;;;;;-4;0;;;;;;;;;;;;0750708M;Lycée Jean Drouant;Lycée;Public;20 rue Médéric;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 56 21 01 01;01 56 21 01 19;http://www.lyceejeandrouant.fr;ce.0750708M@ac-paris.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;;1.0;19750708000012.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1965;48.8807481921,2.30373950153;SANS OBJET;Paris;Paris;Ile-de-France;648937.1;6864750.6;EPSG:2154;;48.88074819207674;2.303739501525694;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0750708M;;;01000;BASSIN PARIS
LYCEE NOTRE-DAME DE FRANCE;2014;PARIS 13;0753902J;75113;PARIS;Paris;PR;15.0;23.0;33.0;;;;;;;;;;71;100.0;100.0;100.0;;;;;;;;;;100;99.0;99.0;100.0;;;;;;;;;;99.0;98.0;98.0;99.0;;;;;;;;;;99.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;74.0;100.0;75.0;95.0;74.0;97.0;96.0;75.0;;73.0;85.0;82.0;91.0;95.0;94.0;;;Ile-de-France;11;75;Paris;1;-9;;2;2;1;;;;;;;;;;-3;;;;;;;;;;;;0753902J;Lycée privé Notre-Dame de France;Lycée;Privé;63 rue de la Santé;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 08 69 70;01 44 08 69 71;http://www.notredamedefrance.com;mlcaravano@ndfrance.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78454450400011.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4757;48.8330561947,2.34135942532;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;651651.8;6859424.0;EPSG:2154;;48.83305619465898;2.3413594253204946;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE RABELAIS-PARAMEDICAL ET SOCIAL;2014;PARIS 18;0750688R;75118;PARIS;Paris;PU;9.0;15.0;17.0;;;;;;11.0;76.0;;;128;78.0;73.0;65.0;;;;;;82.0;74.0;;;73;;63.0;49.0;;;;;;91.0;88.0;;;79.0;;65.0;62.0;;;;;;74.0;72.0;;;70.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;63.0;80.0;75.0;95.0;77.0;94.0;120.0;106.0;;48.0;35.0;43.0;75.0;57.0;62.0;;;Ile-de-France;11;75;Paris;3;5;;ND;8;3;;;;;;8;2;;;13;;;;;;;;;;;;0750688R;Lycée François Rabelais;Lycée;Public;9 rue Francis de Croisset;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 09 13 00;01 53 09 13 13;http://www.ac-paris.fr/serail/jcms/s1_984030/accueil;ce.0750688r@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19750688400018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14500;48.8992352696,2.34561006287;SANS OBJET;Paris;Paris;Ile-de-France;652024.8;6866780.0;EPSG:2154;;48.89923526964447;2.345610062869426;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752195D;;;01000;BASSIN PARIS
LYCEE JEAN DE LA FONTAINE;2014;PARIS 16;0750702F;75116;PARIS;Paris;PU;35.0;50.0;128.0;;;;;;;;18.0;;231;100.0;96.0;98.0;;;;;;;;100.0;;98;99.0;98.0;99.0;;;;;;;;100.0;;99.0;98.0;97.0;98.0;;;;;;;;100.0;;98.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;74.0;98.0;75.0;95.0;77.0;94.0;264.0;231.0;;70.0;83.0;80.0;91.0;95.0;94.0;;;Ile-de-France;11;75;Paris;0;-10;;2;-1;0;;;;;;;;0;;-3;;;;;;;;;;;;0750702F;Lycée Jean de La Fontaine;Lycée;Public;1 place de la Porte Molitor;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 46 51 16 00;01 46 51 18 40;http://www.ac-paris.fr/serail/jcms/p2_73101/cite-scolaire-lycee-college-jean-de-la-fontaine-paris-accueil;ce.0750702f@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;19750702300012.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6552;48.8451900408,2.25656973395;SANS OBJET;Paris;Paris;Ile-de-France;645440.6;6860828.4;EPSG:2154;;48.84519004076813;2.256569733945024;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752547L;;;01000;BASSIN PARIS
LYCEE ELISA LEMONNIER (GENERAL ET TECHNO.);2014;PARIS 12;0750677D;75112;PARIS;Paris;PU;;18.0;;;;;69.0;;16.0;;;;103;;78.0;;;;;96.0;;100.0;;;;93;;66.0;;;;;89.0;;91.0;;;;85.0;;68.0;;;;;88.0;;82.0;;;;83.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;60.0;94.0;75.0;95.0;77.0;94.0;136.0;119.0;;46.0;47.0;60.0;85.0;74.0;79.0;;;Ile-de-France;11;75;Paris;10;-14;;;10;;;;;8;;18;;;;6;;;;;;;;;;;;0750677D;Lycée Elisa Lemonnier;Lycée;Public;20 avenue Armand Rousseau;;75012 Paris;75012.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 43 45 82 21;01 43 45 44 99;http://www.elisa-lemonnier.fr;ce.0750677d@ac-paris.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19750677700014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5765;48.8366245916,2.40950955464;SANS OBJET;Paris;Paris;Ile-de-France;656657.3;6859781.2;EPSG:2154;;48.836624591640266;2.4095095546351715;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0750677D;;;01000;BASSIN PARIS
